No;Name Matkul;Kode Matkul;Kategori Matkul;Quiz Name;Quiz File Name
7881;Ekonomi Mineral (21D11130602);21D11130602;31201;Ujian Tertulis 1;qti2_export_11343
7925;PENGANTAR TEKNOLOGI INFORMASI;21D12110102;55201;Final Test Sesi 1;qti2_export_15874
7925;PENGANTAR TEKNOLOGI INFORMASI;21D12110102;55201;Final Test Sesi 2;qti2_export_15875
7925;PENGANTAR TEKNOLOGI INFORMASI;21D12110102;55201;Mid Test;qti2_export_15876
7925;PENGANTAR TEKNOLOGI INFORMASI;21D12110102;55201;Mid Test - Copy;qti2_export_15877
7925;PENGANTAR TEKNOLOGI INFORMASI;21D12110102;55201;Remedial MidTest 081120;qti2_export_15878
7926;DASAR PEMROGRAMAN KOMPUTER;21D12110203;55201;Ganjil_21_22;qti2_export_13456
7927;SISTEM DIGITAL;21D12110303;55201;Tes Ujian;qti2_export_16562
7927;SISTEM DIGITAL;21D12110303;55201;Ujian Akhir;qti2_export_10264
7929;ALJABAR LINEAR;21D12120103;55201;Contoh Soal 1;qti2_export_10309
7929;ALJABAR LINEAR;21D12120103;55201;Final Test;qti2_export_10310
7931;ARSITEKTUR DAN ORGANISASI KOMPUTER;21D12120303;55201;coba;qti2_export_16306
7932;PEMROGRAMAN BERORIENTASI OBYEK;21D12120403;55201;Mid-test;qti2_export_16796
7934;TEORI BAHASA DAN OTOMATA;21D12120602;55201;Final Test 21_22_1;qti2_export_13307
7935;PEMROGRAMAN SCRIPT;21D12120702;55201;Ujian Final;qti2_export_13341
7936;KECERDASAN BUATAN;21D12120803;55201;Kuis 1;qti2_export_10265
7936;KECERDASAN BUATAN;21D12120803;55201;MID TEST;qti2_export_10266
7943;PEMROGRAMAN MOBILE;21D12130503;55201;Activity Lifecycle;qti2_export_10435
7943;PEMROGRAMAN MOBILE;21D12130503;55201;Anatomi Aplikasi Android;qti2_export_10436
