FAKULTAS;JUMLAH KELAS;JML KELAS PUNYA MATERI;JML KELAS PUNYA MATERI 16 PERTEMUAN
ILMU SOSIAL DAN ILMU POLITIK;623;178;0
EKONOMI;585;199;0
ILMU BUDAYA;616;148;0
PETERNAKAN;251;92;0
PENDIDIKAN DOKTER GIGI;312;13;0
KESEHATAN MASYARAKAT;421;208;0
VOKASI;181;120;0
HUKUM;419;106;0
PROGRAM PASCASARJANA;517;79;0
ILMU KELAUTAN DAN PERIKANAN;333;162;0
KEDOKTERAN;1508;109;0
TEKNIK;2008;690;0
MATEMATIKA DAN ILMU PENG. ALAM;810;165;0
KEPERAWATAN;166;51;0
FARMASI;198;97;0
KEHUTANAN;227;104;0
PERTANIAN;531;350;0
MKU;472;249;0
