PROGRAM STUDI;JUMLAH KELAS;JML KELAS PUNYA MATERI;JML KELAS PUNYA MATERI 16 PERTEMUAN
ADMINISTRASI DAN KEBIJAKAN KESEHATAN - S2;16;6;0
ADMINISTRASI PUBLIK - S1;62;22;0
ADMINISTRASI PUBLIK - S2;24;4;0
AGRIBISNIS - S1;99;63;0
AGRIBISNIS - S2;17;5;0
AGRIBISNIS PANGAN - D4;14;9;0
AGRIBISNIS PETERNAKAN - D4;22;13;0
AGROBISNIS PERIKANAN - S1;32;24;0
AGROTEKNOLOGI - S1;110;71;0
AGROTEKNOLOGI - S2;32;6;0
AKUNTANSI - S1;137;74;6
ANTROPOLOGI - S2;12;0;0
ANTROPOLOGI SOSIAL - S1;44;9;0
ARKEOLOGI - S1;48;7;0
ARKEOLOGI - S2;11;1;0
ARSITEKTUR - S2;17;6;0
BAHASA INDONESIA - S2;8;2;0
BAHASA INGGRIS - S2;17;2;0
BAHASA INGGRIS - S3;25;0;0
BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK;45;7;0
BIOLOGI - S1;81;11;0
BIOLOGI - S2;16;1;0
BUDI DAYA LAUT DAN PANTAI - D4;25;25;0
BUDIDAYA PERAIRAN - S1;73;13;0
DESTINASI PARIWISATA - D4;23;17;0
EKONOMI DAN BISNIS ISLAM - S1;4;2;0
EKONOMI PEMBANGUNAN DAN PERENCANAAN - S2;10;2;0
EKONOMI SUMBERDAYA - S2;12;0;0
FARMASI - S1;146;63;0
FARMASI - S2;5;0;0
FISIKA - S1;89;18;0
FISIKA - S2;20;2;0
FISIKA - S3;21;2;0
FISIOTERAPI;25;9;1
GEOFISIKA - S1;75;11;0
GEOFISIKA - S2;15;3;0
HUKUM ADMINISTRASI NEGARA - S1;46;9;0
ILMU  KESEHATAN MASYARAKAT - S2;43;12;2
ILMU ADMINISTRASI PUBLIK - S3;35;2;0
ILMU AKTUARIA;76;22;0
ILMU AKUNTANSI - S3;12;6;0
ILMU ANTROPOLOGI - S3;16;0;0
ILMU ARSITEKTUR - S3;101;2;0
ILMU BIOMEDIK - S2;159;7;0
ILMU DAN TEKNOLOGI PANGAN - S1;63;37;2
ILMU DAN TEKNOLOGI PANGAN - S2;17;4;0
ILMU DAN TEKNOLOGI PETERNAKAN - S2;57;5;0
ILMU EKONOMI - S1;102;16;0
ILMU EKONOMI - S3;12;1;0
ILMU FARMASI - S3;9;0;0
ILMU GIZI - S1;49;46;0
ILMU GIZI - S2;21;14;0
ILMU HAMA DAN PENYAKIT TUMBUHAN - S2;18;9;0
ILMU HUB. INTERNASIONAL - S1;95;25;0
ILMU HUKUM - S1;213;58;1
ILMU HUKUM - S2;71;4;0
ILMU HUKUM - S3;51;1;0
ILMU KEBIDANAN - S2;28;3;0
ILMU KEDOKTERAN - S3;28;1;0
ILMU KEDOKTERAN GIGI - S3;9;0;0
ILMU KELAUTAN - S1;46;32;0
ILMU KELAUTAN - S2;14;3;0
ILMU KEPERAWATAN - S2;18;5;0
ILMU KIMIA - S3;50;0;0
ILMU KOMUNIKASI - S1;77;4;1
ILMU KOMUNIKASI - S2;30;0;0
ILMU KOMUNIKASI -S3;27;0;0
ILMU LINGKUNGAN - S3;36;1;0
ILMU LINGUISTIK - S3;32;2;0
ILMU PEMERINTAHAN - S1;44;32;0
ILMU PEMERINTAHAN - S2;11;3;0
ILMU PENDIDIKAN KEDOKTERAN DAN KESEHATAN - S2;8;0;0
ILMU PENYAKIT MULUT;20;0;0
ILMU PERIKANAN - S2;42;12;0
ILMU PERIKANAN - S3;35;4;0
ILMU PERTANIAN - S3;73;13;0
ILMU POLITIK - S1;34;25;0
ILMU POLITIK - S2;19;5;0
ILMU POLITIK - S3;12;2;0
ILMU SEJARAH - S1;39;3;0
ILMU TANAH - S1;39;28;0
JENDER DAN PEMBANGUNAN - S2;15;1;0
KAJIAN BUDAYA - S2;8;1;0
KEDOKTERAN GIGI - S2;31;0;0
KEHUTANAN - S1;92;53;0
KEHUTANAN - S2;25;8;0
KEHUTANAN - S3;35;1;0
KENOTARIATAN - S2;40;2;0
KEPERAWATAN - D3;10;0;0
KEPERAWATAN - S1;55;31;2
KEPERAWATAN MEDICAL BEDAH;6;0;0
KESEHATAN LINGKUNGAN - S2;10;3;0
KESEHATAN MASYARAKAT - S3;72;16;0
KESEHATAN MASYARAKAT (S1);150;80;0
