No;Link Matkul;Name;Kode Matkul;Kategori Matkul
1;https://sikola.unhas.ac.id/courses/001U0032/index.php;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201
99;https://sikola.unhas.ac.id/courses/010U0032/index.php;BAHASA INGGRIS;010U0032;55201
622;https://sikola.unhas.ac.id/courses/0601C21506/index.php;ENDOKRIN DAN FERTILITITAS OBGIN 2015;0601C21506;11708
727;https://sikola.unhas.ac.id/courses/0701C21506/index.php;OBSTETRI DAN GINEKOLOGI SOSIAL;0701C21506;11708
847;https://sikola.unhas.ac.id/courses/081U002/index.php;BAHASA INGGRIS 1;081U002;14201
864;https://sikola.unhas.ac.id/courses/101A2213/index.php;PENGANTAR MANAJEMEN;101A2213;61201
866;https://sikola.unhas.ac.id/courses/101C1312/index.php;FILSAFAT ILMU DAN KETERAMPILAN BELAJAR;101C1312;11202
869;https://sikola.unhas.ac.id/courses/101D2113/index.php;DASAR GAMBAR MESIN + TUGAS;101D2113;21201
871;https://sikola.unhas.ac.id/courses/101D31113/index.php;GAMBAR TEKNIK;101D31113;36201
875;https://sikola.unhas.ac.id/courses/101D4213/index.php;PENGANTAR TEKNOLOGI INFORMASI;101D4213;55201
888;https://sikola.unhas.ac.id/courses/101E4113/index.php;DASAR-DASAR LOGIKA;101E4113;69201
891;https://sikola.unhas.ac.id/courses/101E5103/index.php;PENGANTAR ANTROPOLOGI SOSIAL BUDAYA;101E5103;82201
897;https://sikola.unhas.ac.id/courses/101F4114/index.php;KEMAHIRAN BAHASA ARAB I;101F4114;79203
900;https://sikola.unhas.ac.id/courses/101F6112/index.php;MASYARAKAT DAN KEBUDAYAAN INDONESIA;101F6112;79203
903;https://sikola.unhas.ac.id/courses/101F9112/index.php;MENULIS BAHASA JEPANG I;101F9112;79204
904;https://sikola.unhas.ac.id/courses/101G1103/index.php;BOTANI;101G1103;54211
905;https://sikola.unhas.ac.id/courses/101G3203/index.php;MATEMATIKA EKONOMI;101G3203;54201
908;https://sikola.unhas.ac.id/courses/101K1012/index.php;BIOMEDIK I;101K1012;13201
909;https://sikola.unhas.ac.id/courses/101K2013/index.php;BIOMEDIK;101K2013;13211
915;https://sikola.unhas.ac.id/courses/102A3313/index.php;AKUNTANSI DASAR;102A3313;62201
921;https://sikola.unhas.ac.id/courses/102D2113/index.php;PROSES PERMESINAN +PRAKTIKUM;102D2113;21201
924;https://sikola.unhas.ac.id/courses/102D3212/index.php;TEKNOLOGI BAHAN;102D3212;38201
926;https://sikola.unhas.ac.id/courses/102D4112/index.php;RANGKAIAN LOGIKA;102D4112;20201
929;https://sikola.unhas.ac.id/courses/102D6123/index.php;PALEONTOLOGI;102D6123;34201
930;https://sikola.unhas.ac.id/courses/102D6212/index.php;MENGGAMBAR TEKNIK;102D6212;31201
932;https://sikola.unhas.ac.id/courses/102E1203/index.php;SOSIOLOGI PEMERINTAHAN (102E1203);102E1203;65201
933;https://sikola.unhas.ac.id/courses/102E1303/index.php;TEORI - TEORI HUBUNGAN INTERNASIONAL;102E1303;64201
942;https://sikola.unhas.ac.id/courses/102F3112/index.php;COMPREHENSION ORALE ET ECRITE 1;102F3112;79205
943;https://sikola.unhas.ac.id/courses/102F4112/index.php;PROGRAM APLIKASI KOMPUTER BAHASA ARAB;102F4112;79203
950;https://sikola.unhas.ac.id/courses/102I1102/index.php;DASAR MANAJEMEN;102I1102;54231
954;https://sikola.unhas.ac.id/courses/102O1121/index.php;ILMU TILIK HEWAN;102O1121;54261
