No;Link Matkul;Name;Kode Matkul;Kategori Matkul
1;https://sikola.unhas.ac.id/courses/001U0032/index.php;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201
2;https://sikola.unhas.ac.id/courses/001U00321TES/index.php;Agama Islam;001U00321TES;OC
3;https://sikola.unhas.ac.id/courses/001U00322TES/index.php;Agama Islam;001U00322TES;-
4;https://sikola.unhas.ac.id/courses/001U00323TES/index.php;Agama Islam;001U00323TES;OCS
5;https://sikola.unhas.ac.id/courses/001U0032TES/index.php;Agama Islam;001U0032TES;OCS
6;https://sikola.unhas.ac.id/courses/0101C11802/index.php;FILSAFAT ILMU PENGETAHUAN;0101C11802;11709
7;https://sikola.unhas.ac.id/courses/0101C20201/index.php;MODEL RAWAT INAP;0101C20201;11701
8;https://sikola.unhas.ac.id/courses/0101C20402/index.php;DOKTER RUANGAN;0101C20402;11702
9;https://sikola.unhas.ac.id/courses/0101C20502/index.php;FILSAFAT ILMU PENGETAHUAN;0101C20502;11711
10;https://sikola.unhas.ac.id/courses/0101C20601/index.php;POLIKLINIK : PENGETAHUAN KLINIK FISIK DIAGNOSTIK;0101C20601;11705
11;https://sikola.unhas.ac.id/courses/0101C20801/index.php;TEORI SAMPLING;0101C20801;11719
12;https://sikola.unhas.ac.id/courses/0101C21001/index.php;DASAR-DASAR FISIKA RADIASI (FISIKA MEDIK, RADIOLOGI PROTEKSI RADIASI);0101C21001;11723
13;https://sikola.unhas.ac.id/courses/0101C21202/index.php;METODE PENELITIAN DAN BIOSTATISTIK;0101C21202;11703
14;https://sikola.unhas.ac.id/courses/0101C21402/index.php;FILSAFAT ILMU PENGETAHUAN;0101C21402;11706
15;https://sikola.unhas.ac.id/courses/0101C21502/index.php;FILSAFAT ILMU PENGETAHUAN;0101C21502;11712
16;https://sikola.unhas.ac.id/courses/0101C21612/index.php;Kardiologi Dasar;0101C21612;11715
17;https://sikola.unhas.ac.id/courses/0101C21702/index.php;FILSAFAT ILMU PENGETAHUAN;0101C21702;13701
18;https://sikola.unhas.ac.id/courses/0102C11801/index.php;ETIKA PROFESI;0102C11801;11709
19;https://sikola.unhas.ac.id/courses/0102C20201/index.php;EMBRIOLOGI MATA;0102C20201;11701
20;https://sikola.unhas.ac.id/courses/0102C20407/index.php;PENGUASAAN PATOGENESIS PATOFISIOLOGI PENYAKIT;0102C20407;11702
21;https://sikola.unhas.ac.id/courses/0102C204075/index.php;Penguasaan Patogenesis & Patofisiologi Penyakit;0102C204075;11702
22;https://sikola.unhas.ac.id/courses/0102C20501/index.php;ETIKA PROFESI;0102C20501;11711
23;https://sikola.unhas.ac.id/courses/0102C20601/index.php;KETERAMPILAN FISIK DIAGNOSTIK;0102C20601;11705
24;https://sikola.unhas.ac.id/courses/0102C20802/index.php;INSTRUMENTASI;0102C20802;11719
25;https://sikola.unhas.ac.id/courses/0102C21002/index.php;DASAR-2  RADIOLOGI (RAD.ANATOMI, TEKNIK PEMERIKSAAN RADIOLOGI (KONVENSIONAL, CT, MRI, USG, NUKLIR);0102C21002;11723
26;https://sikola.unhas.ac.id/courses/0102C21202/index.php;PEMERIKSAAN NEUROLOGI;0102C21202;11703
27;https://sikola.unhas.ac.id/courses/0102C21401/index.php;ETIKA PROFESI;0102C21401;11706
28;https://sikola.unhas.ac.id/courses/0102C21501/index.php;ETIKA PROFESI;0102C21501;11712
29;https://sikola.unhas.ac.id/courses/0102C21702/index.php;BIOSTATISTIK DAN KOMPUTER STATISTIK;0102C21702;13701
30;https://sikola.unhas.ac.id/courses/0103C11802/index.php;METODOLOGI PENELITIAN;0103C11802;11709
31;https://sikola.unhas.ac.id/courses/0103C20201/index.php;ANATOMI MATA;0103C20201;11701
32;https://sikola.unhas.ac.id/courses/0103C20403/index.php;DOKTER JAGA / JURNAL : 1;0103C20403;11702
33;https://sikola.unhas.ac.id/courses/0103C20502/index.php;METODE PENELITIAN ;0103C20502;11711
34;https://sikola.unhas.ac.id/courses/0103C20602/index.php;FILSAFAT ILMU PENGETAHUAN;0103C20602;11705
35;https://sikola.unhas.ac.id/courses/0103C20802/index.php;TES LABORATORIUM SEDERHANA + DIAGNOSTIK;0103C20802;11719
