No;Link Matkul;Name;Kode Matkul;Kategori Matkul;Is Found
1;https://sikola.unhas.ac.id/courses/001U0032/index.php;PENDIDIKAN AGAMA ISLAM - Khusus;001U0032;36201;Found
2;https://sikola.unhas.ac.id/courses/001U00321TES/index.php;Agama Islam;001U00321TES;OC;Not Found
3;https://sikola.unhas.ac.id/courses/001U00322TES/index.php;Agama Islam;001U00322TES;-;Not Found
4;https://sikola.unhas.ac.id/courses/001U00323TES/index.php;Agama Islam;001U00323TES;OCS;Not Found
5;https://sikola.unhas.ac.id/courses/001U0032TES/index.php;Agama Islam;001U0032TES;OCS;Not Found
6;https://sikola.unhas.ac.id/courses/0101C11802/index.php;FILSAFAT ILMU PENGETAHUAN;0101C11802;11709;Not Found
7;https://sikola.unhas.ac.id/courses/0101C20201/index.php;MODEL RAWAT INAP;0101C20201;11701;Not Found
8;https://sikola.unhas.ac.id/courses/0101C20402/index.php;DOKTER RUANGAN;0101C20402;11702;Not Found
9;https://sikola.unhas.ac.id/courses/0101C20502/index.php;FILSAFAT ILMU PENGETAHUAN;0101C20502;11711;Not Found
10;https://sikola.unhas.ac.id/courses/0101C20601/index.php;POLIKLINIK : PENGETAHUAN KLINIK FISIK DIAGNOSTIK;0101C20601;11705;Not Found
11;https://sikola.unhas.ac.id/courses/0101C20801/index.php;TEORI SAMPLING;0101C20801;11719;Not Found
12;https://sikola.unhas.ac.id/courses/0101C21001/index.php;DASAR-DASAR FISIKA RADIASI (FISIKA MEDIK, RADIOLOGI PROTEKSI RADIASI);0101C21001;11723;Not Found
13;https://sikola.unhas.ac.id/courses/0101C21202/index.php;METODE PENELITIAN DAN BIOSTATISTIK;0101C21202;11703;Not Found
14;https://sikola.unhas.ac.id/courses/0101C21402/index.php;FILSAFAT ILMU PENGETAHUAN;0101C21402;11706;Not Found
15;https://sikola.unhas.ac.id/courses/0101C21502/index.php;FILSAFAT ILMU PENGETAHUAN;0101C21502;11712;Not Found
16;https://sikola.unhas.ac.id/courses/0101C21612/index.php;Kardiologi Dasar;0101C21612;11715;Not Found
17;https://sikola.unhas.ac.id/courses/0101C21702/index.php;FILSAFAT ILMU PENGETAHUAN;0101C21702;13701;Not Found
