No;Link Matkul;Name;Kode Matkul;Kategori Matkul;Is Found
7001;https://sikola.unhas.ac.id/courses/212F712/index.php;MENULIS BAHASA MANDARIN MENENGAH 2;212F712;79214;Not Found
7002;https://sikola.unhas.ac.id/courses/212I1103/index.php;ILMU PEMULIAAN TERNAK;212I1103;54231;Found
7003;https://sikola.unhas.ac.id/courses/212K2022/index.php;MANAJEMEN PELAYANAN MAKANAN;212K2022;13211;Not Found
7004;https://sikola.unhas.ac.id/courses/212M1123/index.php;SISTEM INFORMASI SPASIAL KEHUTANAN;212M1123;54251;Not Found
7005;https://sikola.unhas.ac.id/courses/212O1112/index.php;NUTRISI VETERINER DAN SATWA AKUATIK;212O1112;54261;Found
7006;https://sikola.unhas.ac.id/courses/212Q1123/index.php;PSIKOLOGI DIAGNOSTIKA II;212Q1123;73201;Not Found
7007;https://sikola.unhas.ac.id/courses/213A2223/index.php;MANAJEMEN PEMASARAN II;213A2223;61201;Not Found
7008;https://sikola.unhas.ac.id/courses/213B2113/index.php;HUKUM TATA RUANG;213B2113;74235;Not Found
7009;https://sikola.unhas.ac.id/courses/213C1103/index.php;S1 KETERAMPILAN KLINIK 2;213C1103;11201;Not Found
7010;https://sikola.unhas.ac.id/courses/213C1315/index.php;PROSES DAN PENGUKURAN FISIOTERAPI;213C1315;11202;Found
7011;https://sikola.unhas.ac.id/courses/213D1112/index.php;STATISTIK DAN PROBABILITAS;213D1112;22201;Not Found
7012;https://sikola.unhas.ac.id/courses/213D1212/index.php;ETIKA REKAYASA;213D1212;25201;Not Found
7013;https://sikola.unhas.ac.id/courses/213D2124/index.php;TERMODINAMIKA;213D2124;21201;Found
7014;https://sikola.unhas.ac.id/courses/213D2212/index.php;ELEKTRONIKA INDUSTRI;213D2212;26201;Found
7015;https://sikola.unhas.ac.id/courses/213D31112/index.php;KAPAL KAYU;213D31112;36201;Not Found
7016;https://sikola.unhas.ac.id/courses/213D3222/index.php;METODE NUMERIK;213D3222;38201;Not Found
7017;https://sikola.unhas.ac.id/courses/213D3323/index.php;PROPULSI KAPAL;213D3323;36202;Found
7018;https://sikola.unhas.ac.id/courses/213D4122/index.php;DASAR MULTIMEDIA;213D4122;20201;Not Found
7019;https://sikola.unhas.ac.id/courses/213D4222/index.php;ETIKA PROFESI (KELAS A);213D4222;55201;Not Found
7020;https://sikola.unhas.ac.id/courses/213D5113/index.php;STRUKTUR DAN KONSTRUKSI BANGUNAN 2;213D5113;23201;Not Found
